variable,importancia,pregunta
gusto_programacion,0.05799691475649546,Disfruto programar o aprender sobre tecnología.
liderazgo,0.04596206517548721,Considero que tengo habilidades de liderazgo.
gusto_experimentos,0.03995722848328983,Me gusta realizar experimentos.
pensamiento_logico,0.03577246613793475,Considero que tengo un buen pensamiento lógico.
trabajo_equipo,0.03575452346618854,Considero que trabajo bien en equipo.
interes_salud,0.0345218839435631,Me interesa la salud y el bienestar de las personas.
gusto_numeros,0.0334767034499089,Disfruto trabajar con números y estadísticas.
gusto_tecnico,0.033469307869474094,Disfruto realizar actividades prácticas y técnicas.
resolucion_problemas,0.03331662586690323,Tengo facilidad para resolver problemas complejos.
gusto_diseno,0.03312985569463729,Me gusta diseñar o crear contenido visual.
gusto_matematicas,0.03312427344458468,Me gusta resolver problemas matemáticos.
aprendizaje_tecnologia,0.03199000000902248,Tengo facilidad para aprender nuevas tecnologías.
comunicacion,0.03051771285064938,Considero que tengo una buena capacidad de comunicación.
analisis_soluciones,0.030064727653602283,Me gusta analizar información para encontrar soluciones.
gusto_escritura,0.029514491142561824,Disfruto escribir textos o historias.
gusto_artistico,0.029400430048154028,Me gustan las actividades artísticas.
gusto_oratoria,0.028745456178468267,Me gusta hablar en público.
habilidad_matematica,0.028282832248832036,Habilidad matematica.
gusto_organizacion,0.02726121230148771,Gusto organizacion.
gusto_construccion,0.0270593073207647,"Me gusta construir, reparar o manipular objetos."
organizacion_personal,0.026870613248267637,Considero que tengo una buena organización personal.
interes_liderazgo,0.026596605852807723,Me interesa dirigir grupos o proyectos.
investigacion_cientifica,0.02620016048388234,Disfruto investigar temas científicos o tecnológicos.
trabajo_datos,0.024500284106657926,Trabajo datos.
orientacion_personas,0.024074832752739857,"Disfruto orientar, enseñar o trabajar con personas."
investigacion,0.023748289285219208,Investigacion.
persuasion,0.023406009295303516,Disfruto proponer ideas y convencer a otras personas.
expresion_creativa,0.02297262562291707,Me gusta expresar mis ideas de forma creativa.
creatividad,0.02287710446222875,Considero que tengo una buena creatividad.
interes_ciencia,0.022218455953198924,Me interesa investigar temas científicos.
orden_informacion,0.02158259947164023,Me gusta organizar información y mantener todo ordenado.
gusto_ensenar,0.01999701709654692,Disfruto enseñar o ayudar a otras personas.
interes_funcionamiento,0.019141968681283414,Me interesa entender cómo funcionan las cosas.
liderazgo_grupos,0.016495415645296822,Me gusta liderar grupos o coordinar actividades.
